,댓글
403,서로 우기지만말고 주요인사들 모여서 청문회 토론 식으로 증거제출과 논의로 확실하게 정하고 인정하면되지않나 현재로썬 대화조차 불가한데
404,이제는 저걸 보고 일본에 대한 관심이 뚝 떨어졌다.
405,지능의한계 ㅋㅋㅋㅋ
406,역사가 인정했고 등기부등본에도 한국땅이고 독도경비대도 한국사람이고 독도에있는 의용수비대 기념관이 니들이 무식하게 뺏으려했던 땅이었다는증거다 .결국은지켜냈고 현재도 앞으로도 우리땅이다. 논리적.근복적.역사적으로 너희들은 니들땅이라고 말할자격없다. 과거에도현재인지금도 독도를위해일하고있는 관계자분들께 너무감사합니다.
407,김구라씨가 찍은 수많은 촬영 중 가장 멋있어보였습니다.
408,미동석 설민석 해석 해주는 사람 PD만 있으면 되는데 마동석이 캐리 ㅋㅋㅋㅋㅋㅋㅋㅋ
409,몇몇 일본인들도 갬념이 없구나...
410,"13:01 이건 욕하는게 아니라 팩트 : 일본인들 습성이, 혼자서는 잘 나서지 않지만 조금만 모이면 날뛰는 스타일. 리갈하이라는 일드에서도 이런 일본의 집단선동에 관해서 완곡하게 비판하는 걸 볼 수 있음."
411,애초에 독도가어디있는지몰르면  그냥 독도에대해서몰르는거아님?? ㅈㄴ웃기넼ㅋ
412,독도는 한국땅   独岛是韩国领土
413,근데 멋있다 많은 사람들 앞에서 당당하게 독도는 한국땅이라고도 말하고 더 멌있다는건 빵 파는 사장님 앞에서 지적하는게 멋있다
414,2021년 여름에 올 태풍아 조금만더 힘을내다오!! 조금더 벌크업해서 일본으로 가면 된단다~^^ 힘을내다오~^^
415,와...일본인들 이 독도가 지들꺼라 하는거 보고 폰 부실뻔;;; 근데 지들꺼라면서 모르는건 뭐임ㅋ
416,11:35 진짜 아무 이유 없이 급발진하네
417,일본놈들 겁나무식함ㅋㅋㅋㅋㅋ 욱이면다인줄암ㅋㅋㅋ  이거보면서 방송 찍는다고 참은 김구라 겁나대단함!!
418,독도라는 곳은 존재하지만 다케시마라는 곳은 존재하지도 않는데 다케시마가 어딨는지 모르는건 당연하겠죠
419,아무리 방송이지만 아오 구라형 진짜 잘참는다..
420,일본인들 말 일본인'독도는 일본땅 이야' 한국사람'이유가 뭔가요 일본인
421,그나저나 03:48 이장면 완전 코메디인데욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
422,그냥 한마디로 개웃경ㅎ
423,독도가 어딨는지도 모르면서 지들 땅이라고 주장하는 일본이 참...
424,일본:다케스마는 우리땅이야 한국:그래 그 대신 조건이 있어 일본은 우리 한국 땅이야 ㅋ 일본: ... 제가 이 글을 작성 하면서 도독땅이 일본거라고 했을때 한국이 그래 라고했때 정말 죄송합니다 🙏
425,한심하다... 저러니까 일본에 수준이 얘전에 멈춘거지
426,일본여행좀 가지맙시다. 이런거보면서도  한국사람이 잴많이  여행가는거같던데.. 코로나땜에 지금은  못가지만  앞으로도  일본은 아웃...
427,우린 뱃길따라 이백리 외로운 섬하나 새들에고향 이라 배웠습니다
428,그나마 마지막에 경찰이 제일착하네 사과도하고
429,지네 나라 꺼라면서 어디있는지도 모르는 일본인들에게 법규를
430,이거 은근 잼 있어서 계속 보게 댐!!
431,뭔가 일본인 한테 미안한 기분....
432,가정교육을 독학한 불쌍한 친구들입니다 욕하지 말고 폭력으로 대해주세요
433,보는동안 주먹에 힘이 계속 들어가네
434,13:49 아니 뭐하러 왔냐고 물어봤으면서 닥치래ㅋㅋㅋㅋ
435,일본은 어쩜 저렇게 한결같이 뻔뻔스러울까
436,영상 초반 부터 시청자들의 과몰입을 너무 유도하는식의 편집이라 시큰둥하게 봤으나 저게 모두 사실이고 저 화난 일본인들이 앞뒤 맥락도 없이 정신병 걸린거 마냥 독도는 일본땅이라고 무한 반복 하는게 연출이 아니라 실제 상황이 맞다면 매우 실망스럽네요 실제상황이라고 믿기 힘들 정도에요
437,제친구가 일본인 인대 그 친구는독도가 한국땅이래요
438,저기서 일본어 잘하는 한국인이 그때그때 반박해주는 장면 있었으면 통쾌했을텐데..ㅠㅠ 아쉽다.. 일본어 공부나 한번 해볼까..
439,"마동석에다가 설쌤 or 큰별쌤 데려가서 논리, 물리로 설명합시다!"
440,우리나라 사람들은 독도가 당연히 우리나라 땅이라 굳이 티 안 내는데 일본은ㅋ
441,책을 딱 한 권만 읽으면 어떻게 되는지 보여주는 것 같다
442,중요한것은 일본국민은 독도가 다케시마라는것입니다 교육이 중요합니다 일본인들은 그렇게 생각하고 그렇게 교육받고있습니다
443,저사람 들은 지옥을가야되
444,때로는 학교쌤&엄마 말이 틀릴때가 있는 법.
445,ㅉㅉ..일본인 그래도 착한 사람들 있을줄 알았거든? 이거 보자마자 생각 싹 바뀌드라...
446,한국인들은 여권이 없어도 독도에 갈 수 있지만 일본인들은 여권이 필수적이다. ㅎㅎ 뭐다? 독도는 한국 영토에 소속됐다.
447,3:55 밀쳐도 안움직이는거 개웃기네 ㅋㅋㅋ뻘쭘해서 퇴장
448,비매너의 끝을 보여주네
449,근데 본인들 영토 가는데 원래 여권이 필요했었나? 진짜 위치도 모르면서 빼액 우리꺼야 하는거 난도질 마렵네
450,일장기의 상징은 음침하고 수줍고 내성적여서 겨우 꺼냈던 여신아님.. 그러니 다들 민감하고 조심스럼
451,따라오는거 개 웃기네ㅋ
452,그냥 일본정부가 나쁜건줄 알았는데 그나라 그시민 이구나...독도 주장을 떠나서 기본적으로 예의가 없네
453,3:57 꿈적도 안하는거 개웃기네ㅋㅋ
454,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 자기네 땅을 안다면서 해놓고 모른덱 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
455,너무 자신만만한게 짜증나고 기분이 나쁘네요
456,이거 하나 말하면 일본 역사학자 중에서 독도가 일본 땅이다 라는 학자는 아무도 없어요
457,나라면 저기 다 박살냈을텐데 기왕가신거 다 박살내고 오시지 왜 그냥 계셨어요 오히려 방송이 더 흥행했을텐데
458,하...일본은 왜 독도를 일본땅이라고 하는지.. 이해가 안가네.. 독도는 한국땅인데..
459,저런놈들을 욕해주시는 사이다여러분이 이시대의 독립투사이십니다
460,일본에 한국사람은 오지 마랍니다. 절대 관광은 가지 맙시다.. 일본에 오지 말라내요.. 우린 일본분 관광와도 됩니다..
461,섭외한애들 연기 넘 못한다궄ㅋㅋㅋㅋ
462,"일본이 독도를 자기땅이라고 우기지만, 우리 땅인 결정적인 근거 1가지  1 ) 세종실록지리지에서 우산(독도)과 무릉(울릉도) 두 섬이 울진현의 정동쪽 바다에 있다. 두 섬이 서로 거리가 멀지 않아 날씨가 맑으면 볼 수 있다."
463,일본 학자 중 독도는 일본 땅이라 하는 학자 0명ㅋㅋㅋㅋ
464,내용없이  어거지쓰는모습이   어째 짠하다
465,독도위치 동경131 북위37 인데 모르면서 지네 땅이라고 우기는게 어이없음.
466,아니 ㅋㅋㅋㅋ 저렇게 발전도 없고 지능도 없고 멍청하게 우길줄만 아는 나라가 어떻게 OECD국가임?ㅋㅋㅋㅋㅋㅋㅋ 어이가 없네
467,7:52 그래도 할부지 양심은 있으시넹...
468,어 너무 꿀잼 잼민이가 귀 막고 아아아 하는 거임ㅋㅋ
469,"교육의 중요성.. 사실을 가르침받지 못하고, 도덕마저 배우지 못해 거부감정도가 아닌 혐오감으로 먼저 바라보는 화나고 슬픈 현실... 독도는 한국땅입니다. 아무리 우겨도 역사는 진실만을 말하니, 적당히 했으면 좋겠네요. 앞뒤 안가리고 일단 욕부터 해대니 한국인도 자연스럽게 일본 자체에 거부감이 생기고 참.."
470,10:42 그러게 손가락질 김구라 주특긴데 ㅋㅋㅋ
471,아니 머리가 없는건가 일본진짜  왜저람? 아니 지들이 그 독도 지들꺼라고 생각하는것도 이상한데 그냥 일반인한테 나가라뭐라 난리하는게 진짜 뭐하는건지 진짜 하..
472,저렇게 대답하는 이유는 교육을 잘못 받아서 그래요.
473,일본인들:(독도가 어디있는지 상관 없음) 돠케시마는 일본 땅이.....땅.......ground야! 한국인들:(독도가 어딛는지알음)무라 씨부러 쌌누!
474,3:16 무서워서 그냥 지나감 ㅋㅋㅋㅋㅋㅋㅋ
475,당일날 바로 소액으로 뱤캬/라퓰/뱅 당일환젼 해주던데 뱤`캬`라`퓰`뱅 먹튀도 없고 돈도 벌고 지금 선착 20명만 받는데
476,존나 당당하게 말하는게 개킹받음..
477,"요즘 뱤 캬라 퓰뱅 이라고 주식,코인보다 좋음 ㅋㅋ 돈벌기 좋누"
478,근데 일본 사람들도 불쌍하다 저렇게 잘못된 지식을 배워놨다가 한국영토인걸 밝혀지고 난후 쟤네는 얼마나 쪽팔릴까 ㅋㅋㅋㅋㅋㅋ
479,내가 저기 있었으면 한국의 매운맛을 쫌 보여줫을텐데
480,독도를 그냥 싸우지말고 일본한테 주면 안되냐라고 하시는데 우리나라 사람들이 살고있는 대한민국 땅이며 주변에있는 바다의 소유권도 없어집니다 원레 대한민국땅인데 그걸 왜 줍니까 🤔
481,저 때 같이 간 세 분이 그나마 거의 180 넘는 키에 덩치도 있으니까 적당히 밀리지 않고 넘어간거지 ㅋㅋ
482,저런 말싸움은 잼민이들이 필요해! 잼민이들도 쓸때가 있었군
483,일본 역사학자들중에서 독도 일본땅이라고 하는 사람없어 이 바보들아
484,3:57  밀어는데  꿈적도 안해서  당황한거 왜 이렇게 웃기냐 ㅋㅋ.
485,지들 독도 어디있는지도 모르면서 지네들 땅이라고 하는거 개웃기넼ㅋㅋㅋㅋㅋㅋ
486,알고리즘 덕분에 일본이 얼마나 한심한 나라인줄 알았네 위치도 모르면서 우리땅이라고 우기면 다른나라도 다 자기들 땅이네
487,0:05 시작부터 원숭이가말을한다? 너무 재밌고
488,아니 저 마스크남 분 독도는 일본 땅이리고 말하면서 🍎폰 대놓고 보여주는 거 갑자기 현웃 터지네..ㅋㅋㅋ
489,이제는 이런거 봐도 화 안나도 웃김 ㅋㅋㅋ 시비거는거 왜케 웃기냐 ㅋㅋㅋㅋ 면역성임 독도 우리나라이다 이제는 입이 아픔 우리는 증거만 내도 이김ㅋ
490,저도 맨처음엔 독도 위치 햇갈리다가 울릉도 옆에있는거 아닌가...? 하다가 급 독도는 우리땅 노래가사 기억나서 알게됐어요ㅋㅋㅋ울릉도! 동남쪽! 뱃길따라 이백리!(87K)! 외로운! 섬하나! 새들의 고향! 그 누가! 아무리! 자기네 땅이라고 우겨도! 독도는 우~리땅! 우리땅! 
491,독도는우리땅 우리땅!
492,외국인들 알고리즘에 이 영상좀 띄워줘라
493,그래도 상황 커지지 않고 마무리된게 오히려 다행인듯 합니다. 저런곳은 분명 우익뿐 아니라 야쿠자들도 연계되있을거고 (뺏지+말투로 추정)
494,"우산(독도)과 무릉(울릉도), 두 섬이 현의  정동방 바다 가운데에 있다.  두 섬이 서로 거리가 멀지 아니하여,  날씨가 맑으면 바라볼 수 있다."
495,3차 세계대전 하면 일본부터 공격했서 용서받자
496,영감들 발작 오지네 진짴ㅋㅋㅋ
497,독도는 우리 땅에 있는데  있는데 일본 계속어기네  일본 나빴다
498,"전에 일본여행 갔었을때 대한민국 위인 리포트를 작성하는것 때문에 길가면서 유관순 열사님에 대해 보고있었는데 핸드폰 화면을 본건지 갑자기 옆에서 ""다케시마는 일본땅이야(일본어 할줄압니다!)""  하길래 그사람 면전에다가 독도는 우리땅 ㅈㄴ 열창함ㅋㅋ 사람들 다 모여서 좀 쪽팔리긴했는데 지나가던 한국 할아버지네 가족이 따봉하고 가심ㅋㅋ"
499,게스트로 격투기 선수같은사람 갔을때 반응 궁금하다 ㅋㅋㅋㅋ
500,뭔 일본땅이라하지 일본 우리나라 옛날에 점령한것도 모자라서 이젠 우리나라땅도 뺏을라하네:
501,팩트 : 일본 사람들이 독도 갈려면 여권을 내야합니다. 하지만 우리 대한민국 국민들은 여권이 없어도 들어갈 수 있습니다. 과연 누구의 땅 일까요?
502,한국이 꽤나 매력이 있나보네. 원래 정말 못났으면 상종도 않할탠데.
503,와...욕하고 싶을정도로 많이 답답해.... 독도는 한국땅입니다
504,여기에서 그그 욕 찰지게 하는 할머니 딱 오면 을마나 좋을까..
505,진짜 나쁜 사람들이다.
506,아 진짜...보다보니까 너무 화네...뭘계속 가래거려 가래가 뱉고싶으면 화장실을가든가..
507,김구라의 짜증난 표정과 영혼없이 무식함에 떠드는 일본인의 멘트가 정말 오버랩되는게 웃프네 ㅋㅋ
508,일본 여행갔는데 저러면 난 죽여버리고 감옥가는게 더 마음펀할듯
509,저런행동들은 본인들이 무식하다는걸 제대로 보여주는 행동같음
510,저기 마동석있었으면 사이다였닼
511,국민의 대다수가 여권도 없는 나라의 국민들 답군요. 국민의 대다수가 정치에 관심이 없는 나라의 국민들 답습니다. 뭐가 어디 붙어 있는지도 모르면서 무조건 지들 땅이라고 하는 그 수준이 참 볼만하네요.
512,어찌보면 저사람들도 불쌍함.. 우리는 독도가 우리나라 땅인거 우리도 알고 그러지만 저 사람들 입장도 이해는 되는게 평생 저 땅은 우리땅이고 이러이러한 증거가 있으므로 우리땅이다 이렇게 배웠는데 갑자기 옆나라에서 저 땅은 우리땅이다 이러는데 어이없긴 할거임. 물론 저기서 몸싸움 일보직전까지 가고 함부로 행동한 사람들은 분명 잘못된게 맞음. 근데 저사람들도 저걸 평생 몇십년을 배워왔는데 우리가 독도가 한국땅이라 하는게 어이가 없는거도 어찌보면 당연함. 사실 저사람들보다도 제일 나쁜건 역사왜곡해서 가르치는 일본 윗대가리들이 아닐까.. 어찌보면 저사람들도 모르고 본인들이 맞는줄알고 저렇게 뻘짓하는건데 불쌍함..
513,저 상황에서 욕안쓰고 버틴게 신기할 따름
514,일본은 진짜 비매너인사람 많다;;;;
515,역사를 잊은자에게는 미래란없다 인간은 실수를하고 반복한다 역사또한 똑같다
516,요기댓들에있는 찬쓰님답글에 나쁜사람이있는데 어떻게 처리 안될까요? 한국인욕을 많이했다는걸 자기도 이해할 정도니까요.
517,ㅋㅋㅋㅋㅋㅋㅋㅇㄴ 화나기보단 그냥 개웃김ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ한국와서 제대로 독도에대해 공부해보면  하나도 모를거면서 눈막고 귀막고 응 다케시마야~ 이러는거 ㅈㄴ 수치스럽겠닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
518,김구라랑 싸우면 개쳐발릴듯ㅋㅋ
519,보면서 개쳐웃었네ㅋㄱㅋㄱㅋ 우울할때 보면 개 웃김 ㅋㅅㅋㅋㄱㅋㅅㅌ
520,저런놈들이 36년간 지배했으니 우리들 조상이  얼마나 힘들었을까  되갑아 주고싶다 진심
521,구라형 옛날 같았으면 욕을 한바가지 시원하게  해줬을 텐데..
522,이걸보고 우리나라 잼민이가 더 똑똑하다고 느낀다
523,근데 독도가 우리 땅인데도 우리도 저렇게까진 안 하는데 좀 많이 이상하네......
524,진짜 구질구질하다  가만히 있던 사람들 걸고 넘어져서는 증거도 논리도 없는 말로 무조건 우기는데 저걸 옆에서 보는 일본인들도 그치 맞지 이거지 이 생각을 하고 있다니 참 ㅋㅋㅋ 괜한 소유욕을 부리네 팩트가 있음에도 불구하고 찾아보지도 않고 무조건 우기고 폭력적으로 행사하려고 하는데 그게 얼마나 찌질해 보이고 무례해 보이고 교육을 어떻게 받아 쳐먹은건지 도통 모르겠는데 ㅋㅋㅋㅋ 물론 좋은 일본분들도 많으신데 왜 저렇게 아무한테나 대들고 싸가지 없게 구는거냐
525,"아니;; 우기는게 아니라, 우리 땅이 잖아;;  우기는게 아닌 사실이라고;; 아니;;"
526,"확실히 문제가 있는 나라인듯. 교육을 어떻게 했으면 ""독도는 일본땅이다! 근데 어디있는지는 모른다!"" 이런말이 나오지.. 할거면 확실히게 하든가.. 이도저도 아니니까 우리가 더 화내지.. 우리도 고개 끄덕일만한 증거있어서 저러는게 아니잖아"
527,저럴때는 샤답 샤답 하고 무시하면 됨
528,3:56 전혀 안밀리는게 개웃김
529,지들이 제일 잘 알면서 ㅇㅈㄹㅋㅋㅋㅋㅋ 일본도 애쓴다 ㅉ
530,설민석이 진실을 설명하고 마동석이 진실의 방으로 데려가면 될듯
531,울릉도 동남쪽 백길따라 200리 외로운 섬하나 ...  대한민국 사람이면 독도의 위치를 모를수가 없다..
532,딱 그거네 형: 이거 내꺼야! 숙제할때 써야한다고! 동생: 아니야 이거 내꺼야! 형: 이게 뭔줄알고?
533,지식이없어지식이!  이러는게 개웃김 ㅋㅋㅋ
534,우리쌤이 일본인들이 아주 예의바르고 친절해서 일본정부만 나쁘구나 했는데 이게뭐야...그리고 나였다면 쌍욕날렸을텐데 대단하심..
535,이건마동석들와서 다 쓰러트려도 할말없다
536,13:48 물어보고 말할라니까 입 막아버리고 다시 물어보네ㅋㅋㅋㅋㅋ
537,일본은 양아치같이 행동하네~
538,독도가 어딘지도 몰르면서 지들꺼래 ㅋㅋㅋㅋ 자기 자식 아닌데 이름도 모르면서 자기꺼라고 하는거랑 뭐가 달라 ㅋㅋ
539,전세계 어린아기까지 알도록 우리도 알려야해요 나라힘이 쎄야합니다 지하에서 열사들 울고계십니다
540,일본: 바보들아 일본에선 일본어 해 한국: 니들은 한국에서 한국어 안하잖아 일본: ...
541,이런건 전세계인이 공유 했으면 좋겠다. 이게 일본의 본모습이지~ㅋㅋㅋ
542,근데 일본에서 자란 나로서는 이런 사람들이 존재 한다는 것이 정말로 유감이네… 일본의 교육을 받고 독도문제에 관심이 있는 일본 친구랑 대화도 나누는데 이건 정말 전쟁이라도 일어나지 않으면 해결 못할 듯.(제가 국어 공부를 제대로는 안해서 문장이 이상 할수있지만 양해 바람)
543,말리니까 더 크게 얘기하네 ㅋㅋㅋㅋㅋㅋㅋㅋ
544,한국한테 취재진:독도 어디있는지 알아요? 한국:네(사회시간에 배운거 술술)                일본한테
545,나였으면 큰소리 했다.. 자꾸 옆에 와서 촬영방해하는 역시 일본.. 하는 짓이 손가락질만 봐도 추해..
546,"도쿄를 유럽에서 찾는 미국인이나, 독도가 어딨는지 모르는 일본인이나 ㅋㅋ 남의 땅이다 보니까 관심이 없는 듯"
547,잼민이랑 말빨로 싸우면 저 사람 들 맨탈 깨질듯ㅋㅋㅋㅋㅋㅋㅋㅋ
548,안이 자기들이 강치도 죽여으면서 화내는것보소 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
549,독도가 뭔지 모르는데 자기 땅이란다
550,이렇게 독도관련방송을 자주티비에서했으면좋겠어요.집콕하는분들많은 코로나시국에 티비에서보고 유튜브로보고 전세계 외국인들이 독도관련영상들을 보게될때마다 우리나라에 도움이될것같아요.독도가 우리나라땅임이 진실이니까.
551,안경잡이가 미는데 안밀리는거 갸웃기네
552,1:25 여기서부터 교육 차이가 나네. 우리는 싸우고있다고 안배우고 당연히 우리지역이라 배우는데.
553,일본인들은 무조건  자기 나라에서 말하는데로 우기는 특성이있다. 저들은 진실은 알려고도 안한다. 무조건 우긴다.애국심 하나는 일등이다.
554,"일본이랑 우리나라랑 같은점은 한사람이 시작하면 모두가 같이 모인다는 점이고 다른 점이 있다면 일본은 한국의 의견을 듣지도 보지도 읽지도 않은 채 무 논리로 주장을 해오고, 우리나라는 역사를 바탕으로 논리있는 말을 한다."
555,근데. 일본인은 싸움을 싫어하는.. 유전자가 있는데 진짜 인가요?
556,왕뚜껑쌤 빨간펜 라이브 강의 잘 들었어요!!
557,독도가 일본땅이면 일본은 한국땅이다 ㅋㅋ
558,일본인: ㅈ도 모르면서 일단 씨부림 한국인: 근거를 제대로 얘기하고 씨부림  + 왜 싸우고있는지 모르겠는데
559,하 진짜 잼민이도 참교육 마렵네
560,설민석씨랑 마동석씨랑 다시 가서 이론적 설명은 설민석씨가 하고 물리적 설명은 마동석씨가 합시다.
561,(한국어를 공부하는 일본 사람이니까 제 서투른 한국어를 이해 해주세요.) 저도 중학교에서 “타케시마는 일본의 영토” 라고 배웠는데 요새 한국도 일본도 연구자분들이 여러 자료나 문서를 발견하니까 뭐가 옳은지 갈피를 못 잡겠어요. 이미 섬 조건을 충족시키지 않다는 자료가 있는것도 알아요. 
562,3:54 안밀리는게 킬포 ㅋㅋㅋ
563,일본 현 정부 아베가 잘못한거지 옛일본정부는 착해요 일본주민들은 옛정부를보고 독도는한국땅 인걸 좀 배워야 할것 같습니다
564,사회시간에 퀴즈하다가 7개 문제중에서 6개 틀린나는..ㅎ
565,선거 잘 해야합니다 일정기가 수면위로 올라오고있어요
566,DOKDO is KOREA's territory - NOT Japan's territory  - NO Dakeshima - NO MORE ILLOGICAL INSISTS
567,김구라씨가 빡친게 눈썹으로도 보여요
568,아 국어시간은 엄청 싫지만 국어시간에 배운 토론이 하고 싶어진다
569,"다케시마가 어디있는지도 모르는데 지들은 ""독도는 일본땅이다""이렇게 말하네? 그리고 시비?한국인한테 시비? 일본이들아 우리한국 K-잼민이 말싸움 못이겨 이것들아"
570,우익들에에 독도가 한국령으로 표기된 일본 고지도에 다케시마가 어디인지 가리켜 보도록하는 어떨까요? 그들의 고지도에 독도가 한국령으로 표기 되어있음을 인식시키는것 아닐까요
571,일본분들 불쌍하시다..그렇게 배웠스니깐 하는거 아니야..같이욕이나 먹고..  ( ͒ ́ඉ .̫ ඉ ̀ ͒)
572,세뇌식 교육으로 독도는 일본땅이라고 각인시켜놓고 정작 독도가 어디있는지 독도가 왜 일본땅인지 제데로 설명 못하는 바보들이네 ㅋㅋ
573,개인적으로 김구라씨 이방송에 적역인듯ᆢ
574,일본 역사시간 선생님:여러분 다케시마는 일본의 영토입니다! 시험에 꼭 나와요~ 학생:왜요? 선생님:원래부터 그랬어요^^
575,아프다
576,그래도 학교에선 일본어를 배워야하다니.. 참...하하...
577,기념상품 샀을때 그사람 그나마양심있네
578,13:45초부터 존나웃기네 ㅋㅋㅋㅋㅋㅋㅋ 지가 물어봐놓고 대답할라니까 닥치라그러고 그다음에 다시물어봄 ㅋㅋㅋㅋㅋㅋㅋ 방사능쳐먹어서 지가말했던거 기억을못하나?
579,저자리에 내가있었으면 얼마나 좋았을까 이렇게 영상으로만 보고있는게 너무 아쉽고 끓는다
580,진짜 DNA가 있긴한가보다 옛날부터 지금까지  우기는거는 대단하다
581,웃긴게 일본이 군인대우랑 청결이 더 좋음GDP도
582,저도 동참할게요!   독도는 한국 영토입니다.
583,아 진짜 일본놈들 지들 땅이 였으면 그런말이 나오냐고 진짜
584,여몽연합 태풍안만나서 제대로 상륙했으면 쑥대밭을 만들었을텐데
585,이래서 나라의 정신교육이 무섭다
586,"일본 즈그가 그렇게 당당하면, 한국이랑 일본이랑  독도 관련해서 토론 한번 제대로 하자ㅋㅋㅋㅋ 설민석 쌤 팩폭 딱대ㅋㅋㅋㅋㅋ"
587,멘탈 갑이다
588,13:53초에 뭐하로 왔어라고 물어놓고 대답하니깐 닥치라고하네 ㅋㅋㅋㅋ
589,일본도 독도가 한국 꺼 라는거 인정 했는데 왜 이럴까…? 진짜 인성 무엇?
590,지금 이때 이걸 띄워주는 알고리즘좌...
591,ㅋㅋㅋㅋ 내가저자리있었으면 개 쌍욕 쳤다 하 일본 저특유의 고함지르는 식의 말투 웬지모르게 쫄보들같네 소리만크게 지르는게 일본은 인정이란걸 하는법을 못배우고 자라서 저런다
592,근데 어떻게 보면 지들 나라 역사를 공부하러왔는데 나가라고해? ㅎㅋㅎㅋ 꼴에 잘못된건 아나봄 ㅋㅋㅋㄱㅎㅋ
593,"""오합지졸"" ""삼삼오오"" ""똥은 똥끼리 뭉친다"" 옛말이 틀린게 하나 없어요"
594,저기 있던 일본인들은 후후 우리가 몰아냈어 이러면서 겁나 뿌듯해할텐데 김구라가 봐준지도 모르고
595,일본은 독도가 어디 있는지도 모르면서 ㅋㅋㅋ 독도가 자기 영토라고 우기네 ㅋㅋㅋ
596,독도를 다케시마라고 칭하면서 우기는 일본사람들은 잘못이 있지만 나머지 가만히 있던 그저 싸잡힌 일본인들은 죄가 없습니다
597,아니 일본놈들아 독도는우리땅인데 으딜 진짜 독도는 우리의역사고 우리에 보물이야! 야런 잘못됀 정보를 가지고 으휴
598,그니깐 ㅋㅋㅋ 학교에서 독도는 일본땅이란 증거를 알려준게아니라 독도는 일본땅이다라고 우기는거 가르쳤나보네
599,역시 일본 무대을 뒤집어 놓으셨다~
600,여기 나오는 일본사람들 특: 증거없이 사람많다고 다굴까려고 애기가 어리광부리는 듯이 빽빽 우기는중ㅋㅋ
601,이걸로 분노참기챌린지 ㅆ가능
602,어떤 사람들은 (대부분 어린 아이들) 대마도를 가지고 독도를 주자....라는 주장을 펼치는 아이들도 있는데 대마도는 주면 받겠지만 절대 바꾸면 안되는거 아시죠?^^  조선 숙종 때에는 동래(부산의 옛 이름)의 어민 안용복이 일본에 들어가 울릉도와 독도가 조선 땅임을 확인받고 돌아왔어요.
603,저기요 짜증 나게 하지 마세요 우리가 복도에 살고 있어요 독도가 우리나라 라고요
604,12:28  맨 오른쪽 남자 그냥 개웃겨서 한참 웃음
605,일본 왕은 백제의 후손이다 따라서  일본 영토와 재산은 대한민국  것이다
606,아 진짜 내가 한국인이여서 너무 좋다. 일본인이였다면 걍 ㅈㄴ 창피할듯;;
607,김구라씨 일본와서 취재하더라도 저정도 목소리가 나면 총싸움이 일어날수 있어요. 조심하셔야돼요. 무조껀 피해야 돼요. 큰일납니다.
608,울진현(蔚珍縣)  지현사(知縣事) 1인.
609,"누가 그랬는데 일본은 지능도 낮아서 국기도 빨간점밖에 못그린다고,,ㅋㅋㅋ"
610,"실제로 일본 영토 내에 다케시마라는 섬이 있고,독도를 다케시마라고 말하면서 다케시마는 일본땅이 아니라고 말하면 일본은 일본영토 내의 다케시마 얘기를 꺼내면서 반박한다고 합니다."
611,독도 없음. CHAPTER II TERRITORY Article 2
612,"저게 사람들이 저러는거 솔직히 진짜 너무 화나는데 ㅋㅋ 저게 정부가 어렸을때부터 가르쳐서 그럼 ,,,다 세뇌당한게 맞음 일본내에서도 지식인들은 인정하는 사실임ㅋㅋㅋ"
613,아니..일본인들이 다 자기거라고 하는데 어딘지 모른다는데..진짜 킹받네 지네들도 손가락질 받고 욕 먹으면  싫잖아 일본에도 착한 사람들도 있지만 진짜 무개념 없는 사람들이 더 많네..
614,와 대박 재팽 생각 보다 제대로 돌았네 ㅍㅎㅎㅎ 싸울맛안나게 ㅋㅋㅋ
615,김구라 상대도 못할거면서 일본우익들 ㅈㄴ 시끄럽네
616,맥반석이 화가 많이 났네 ㅋㅋㅋㅋㅋㅋㅋㅋ
617,아니 그냥 오기만 했는데 나가라고 하고 시비터는게 일본이 안좋다는거임
618,한국인이 그렇게만만하지? 맘만먹으면 일본까지 수영하고가서 시위하고 다닐수있다 이거야
619,이야 동물이 말도 하네 뭐라는진 모르겠지만 ㅎㅎㅎㅎ
620,이런 영상은 영어로 자막올려서 전세계사람들한테 욕먹어야함 얼마나 무식하고 추잡스러운지..
621,김구라님 진짜 착하시다 화나실텐데 침착하게 화내지않고 얘기하시는게 진짜 존경스러워요 독도는 한국 영토입니다.  Dokdo is Korean territory.  独島は韓国の領土です。
622,최진기+마동석 둘만대려가도 90은 정리된다
623,뱤 캬라퓰 뱅 많이 유명하죠 그냥 네이버 쳐보기만해도 바로나오니까 ㅎㅎ 먹튀 ㄹㅇ 없음...
624,참.... 정성이 갸륵하다 빵 과자 ㅋㅋㅋㅋㅋ👍
